id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
640.0,2,7.815345990843868e-21,3.248192992278366e-14,0.9999999999999432
641.0,0,1.0,1.098457076436252e-24,5.998324326895601e-17
642.0,1,1.2427882977454472e-14,1.0,4.399068788008803e-22
643.0,1,1.4943586990484245e-17,1.0,2.2706913378265235e-37
644.0,1,6.437848762791067e-07,0.9999993562151216,1.6990465460219474e-16
645.0,1,1.3216726692107572e-24,1.0,5.407921028260343e-33
646.0,1,2.7993122020444424e-07,0.9999997200687681,2.9436298938973975e-45
647.0,2,1.4650432824220498e-30,8.35199249031466e-18,1.0
648.0,1,1.920699836325142e-09,0.9999999980792893,2.9653055530856433e-67
649.0,2,2.7196808016337145e-08,3.472287590163972e-06,0.9999965005156196
650.0,2,1.8252419640037366e-15,4.4848021934649745e-17,1.0
651.0,2,3.225412201295644e-20,1.7825083676556207e-15,1.0
652.0,2,6.262131898948348e-21,3.024849180420884e-06,0.9999969751508208
653.0,2,1.4108294764003847e-27,2.9295788979838256e-13,0.9999999999997158
654.0,0,0.9999999999280362,7.193853777445617e-11,5.688650197171362e-55
655.0,0,0.9914187958044162,0.008581204195596196,1.3341652099681096e-37
656.0,1,1.953799793090279e-28,0.9999997817254734,2.1827452440060893e-07
657.0,0,1.0,6.807243678486442e-54,4.6120112300126724e-64
658.0,1,2.0430557662660063e-27,0.9999999999961346,3.885083183058592e-12
659.0,1,2.296293150452457e-21,0.9999999971917077,2.8082838126470855e-09
660.0,2,8.942148268184122e-32,3.6276352557858106e-13,0.9999999999996305
661.0,0,1.0,1.0546029661882039e-115,0.0
662.0,2,7.27905324479404e-20,2.7091666072433492e-17,1.0
663.0,1,4.145795584218797e-06,0.9999958542043819,2.0885991319671886e-14
664.0,2,7.111071875252572e-38,1.384899331680153e-20,1.0
665.0,2,1.6334002123641013e-29,2.735108105551271e-11,0.9999999999726583
666.0,0,0.9999931696836124,6.830316397888962e-06,2.548479857117654e-40
